2026-02-19 15:51:43 UTC | OK         | Not in stock
2026-02-19 17:04:22 UTC | OK         | Not in stock
2026-02-19 17:39:59 UTC | IN STOCK   | Add to Cart detected — alerts firing!
2026-02-19 17:40:52 UTC | IN STOCK   | Add to Cart detected — alerts firing!
2026-02-19 17:47:11 UTC | IN STOCK   | Add to Cart detected — alerts firing!
2026-02-19 18:22:39 UTC | IN STOCK   | Add to Cart detected — alerts firing!
2026-02-19 19:08:17 UTC | OK         | Not in stock
2026-02-19 19:46:16 UTC | OK         | Not in stock
2026-02-19 19:55:18 UTC | OK         | Not in stock
2026-02-19 20:01:50 UTC | OK         | Not in stock
2026-02-19 20:48:10 UTC | OK         | Not in stock
2026-02-19 21:19:54 UTC | OK         | Not in stock
2026-02-19 21:55:33 UTC | OK         | Not in stock
2026-02-19 22:37:57 UTC | OK         | Not in stock
2026-02-19 23:04:55 UTC | OK         | Not in stock
2026-02-19 23:45:03 UTC | OK         | Not in stock
2026-02-20 00:53:32 UTC | OK         | Not in stock
2026-02-20 03:32:44 UTC | OK         | Not in stock
2026-02-20 05:06:30 UTC | OK         | Not in stock
2026-02-20 06:09:29 UTC | OK         | Not in stock
2026-02-20 07:16:14 UTC | OK         | Not in stock
2026-02-20 08:00:12 UTC | OK         | Not in stock
2026-02-20 08:55:47 UTC | OK         | Not in stock
2026-02-20 09:52:14 UTC | OK         | Not in stock
2026-02-20 10:33:50 UTC | OK         | Not in stock
2026-02-20 11:08:47 UTC | OK         | Not in stock
2026-02-20 11:47:09 UTC | OK         | Not in stock
2026-02-20 12:26:55 UTC | OK         | Not in stock
2026-02-20 13:42:22 UTC | OK         | Not in stock
2026-02-20 14:29:42 UTC | OK         | Not in stock
2026-02-20 15:22:50 UTC | OK         | Not in stock
2026-02-20 16:00:26 UTC | OK         | Not in stock
2026-02-20 16:55:36 UTC | OK         | Not in stock
2026-02-20 17:42:18 UTC | OK         | Not in stock
2026-02-20 18:26:27 UTC | OK         | Not in stock
2026-02-20 19:23:07 UTC | OK         | Not in stock
2026-02-20 19:52:28 UTC | OK         | Not in stock
2026-02-20 20:29:45 UTC | OK         | Not in stock
2026-02-20 20:57:12 UTC | OK         | Not in stock
2026-02-20 21:35:01 UTC | OK         | Not in stock
2026-02-20 21:56:05 UTC | OK         | Not in stock
2026-02-20 22:35:24 UTC | OK         | Not in stock
2026-02-20 23:02:16 UTC | OK         | Not in stock
2026-02-20 23:39:33 UTC | OK         | Not in stock
2026-02-21 00:00:34 UTC | OK         | Not in stock
2026-02-21 02:45:20 UTC | OK         | Not in stock
2026-02-21 04:21:37 UTC | OK         | Not in stock
2026-02-21 05:26:38 UTC | OK         | Not in stock
2026-02-21 06:04:38 UTC | OK         | Not in stock
2026-02-21 07:00:44 UTC | OK         | Not in stock
2026-02-21 07:41:38 UTC | OK         | Not in stock
2026-02-21 08:00:30 UTC | OK         | Not in stock
2026-02-21 08:47:16 UTC | OK         | Not in stock
2026-02-21 09:17:46 UTC | OK         | Not in stock
2026-02-21 09:49:18 UTC | OK         | Not in stock
2026-02-21 10:16:29 UTC | OK         | Not in stock
2026-02-21 10:48:39 UTC | OK         | Not in stock
2026-02-21 11:12:13 UTC | OK         | Not in stock
2026-02-21 11:39:11 UTC | OK         | Not in stock
2026-02-21 11:56:15 UTC | OK         | Not in stock
2026-02-21 13:04:57 UTC | OK         | Not in stock
2026-02-21 13:51:48 UTC | OK         | Not in stock
2026-02-21 14:23:36 UTC | OK         | Not in stock
2026-02-21 14:53:01 UTC | OK         | Not in stock
2026-02-21 15:22:39 UTC | OK         | Not in stock
2026-02-21 15:48:37 UTC | OK         | Not in stock
2026-02-21 16:14:03 UTC | OK         | Not in stock
2026-02-21 16:50:40 UTC | OK         | Not in stock
2026-02-21 17:20:56 UTC | OK         | Not in stock
2026-02-21 17:49:46 UTC | OK         | Not in stock
2026-02-21 18:21:31 UTC | OK         | Not in stock
2026-02-21 18:59:34 UTC | OK         | Not in stock
2026-02-21 19:34:33 UTC | OK         | Not in stock
2026-02-21 19:52:42 UTC | OK         | Not in stock
2026-02-21 20:24:28 UTC | OK         | Not in stock
2026-02-21 20:50:31 UTC | OK         | Not in stock
2026-02-21 21:16:03 UTC | OK         | Not in stock
2026-02-21 21:42:51 UTC | OK         | Not in stock
2026-02-21 21:58:44 UTC | OK         | Not in stock
2026-02-21 22:36:05 UTC | OK         | Not in stock
2026-02-21 22:57:18 UTC | OK         | Not in stock
2026-02-21 23:34:42 UTC | OK         | Not in stock
2026-02-21 23:54:35 UTC | OK         | Not in stock
2026-02-22 02:28:47 UTC | OK         | Not in stock
2026-02-22 04:31:17 UTC | OK         | Not in stock
2026-02-22 05:38:53 UTC | OK         | Not in stock
2026-02-22 06:29:54 UTC | OK         | Not in stock
2026-02-22 07:23:59 UTC | OK         | Not in stock
2026-02-22 07:55:14 UTC | OK         | Not in stock
2026-02-22 08:40:07 UTC | OK         | Not in stock
2026-02-22 09:05:04 UTC | OK         | Not in stock
